id|score|comment|bookId
41|4|risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis|943
42|3|aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra|621
43|4|aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu|652
44|1|nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor|139
45|3|sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in|653
46|5|justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis|682
47|3|pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie|140
48|2|vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus|219
49|5|ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at|315
50|3|curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu|464
51|1|tempus vivamus in felis eu sapien cursus vestibulum proin eu mi|403
52|5|magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis|65
53|1|sed nisl nunc rhoncus dui vel sem sed sagittis nam congue|659
54|5|nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis|244
55|1|leo rhoncus sed vestibulum sit amet cursus id turpis integer|172
56|1|pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis|532
57|2|curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam|613
58|1|nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus|190
59|3|leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat|935
60|5|ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum|58
61|4|nulla suscipit ligula in lacus curabitur at ipsum ac tellus|194
62|5|iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo|75
63|5|fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh|262
64|2|eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium|85
65|2|sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue|58
66|2|ut erat curabitur gravida nisi at nibh in hac habitasse|652
67|2|non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum|537
68|3|quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam|692
69|4|lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien|182
70|5|non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis|44
71|5|augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|716
72|4|sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in|91
73|4|aenean fermentum donec ut mauris eget massa tempor convallis nulla|635
74|4|donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus|655
75|1|hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo|760
76|4|tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat|144
77|5|cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin|451
78|2|in hac habitasse platea dictumst maecenas ut massa quis augue|806
79|4|sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec|683
80|4|id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac|295
81|1|vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede|407
82|5|turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam|138
83|1|parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor|935
84|5|tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci|149
85|5|sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo|650
86|2|sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis|747
87|4|cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi|349
88|5|quis odio consequat varius integer ac leo pellentesque ultrices mattis odio|156
89|1|mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum|645
90|2|mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt|624
91|4|dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet|864
92|2|nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida|251
93|5|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet|733
94|1|est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec|773
95|5|ut nunc vestibulum ante ipsum primis in faucibus orci luctus et|72
96|1|et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi|504
97|2|est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec|355
98|2|posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam|940
99|3|ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque|75
100|4|amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac|628
101|4|viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit|483
102|2|felis eu sapien cursus vestibulum proin eu mi nulla ac enim|429
103|2|ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo|649
104|4|eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti|770
105|4|sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis|112
106|4|quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur|522
107|5|justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula|271
108|3|leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at|668
109|2|tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris|434
110|3|in est risus auctor sed tristique in tempus sit amet sem|443
111|1|ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at|51
112|3|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est|80
113|3|molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis|370
114|2|vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim|801
115|2|placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor|245
116|1|adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur|748
117|2|cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit|269
118|1|curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor|3
119|4|in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis|673
120|2|tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in|6
121|4|volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla|639
122|5|aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque|628
123|2|commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non|660
124|1|in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae|143
125|4|venenatis turpis enim blandit mi in porttitor pede justo eu massa|765
126|4|vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum|111
127|5|accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque|455
128|4|nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper|65
129|4|suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst|97
130|3|ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu|871
131|3|tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula|700
132|4|eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis|641
133|4|hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec|369
134|4|turpis enim blandit mi in porttitor pede justo eu massa donec|715
135|3|vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum|469
136|2|nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci|935
137|2|justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget|20
138|4|diam cras pellentesque volutpat dui maecenas tristique est et tempus|523
139|3|sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum|284
140|2|aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst|650
141|5|mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis|159
142|5|congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque|889
143|2|suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna|798
144|4|nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula|849
145|4|velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in|627
146|1|amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non|539
147|4|rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut|785
148|3|sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis|573
149|5|sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus|888
150|4|primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat|746
151|3|scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede|130
152|3|eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus|470
153|5|leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel|361
154|3|nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh|453
155|1|orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis|174
156|3|turpis adipiscing lorem vitae mattis nibh ligula nec sem duis|203
157|5|at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus|164
158|3|quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin|947
159|4|ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio|372
160|3|molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in|460
161|5|nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget|109
162|5|bibendum morbi non quam nec dui luctus rutrum nulla tellus|466
163|4|dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices|137
164|3|pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non|834
165|4|sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque|108
166|4|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam|879
167|5|quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea|548
168|2|sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula|219
169|2|eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et|550
170|1|at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna|64
171|3|non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit|86
172|1|integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus|968
173|1|massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet|713
174|5|neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl|618
175|3|habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur|848
176|5|blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus|386
177|2|turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum|197
178|2|turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris|768
179|2|ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis|357
180|4|ultrices mattis odio donec vitae nisi nam ultrices libero non mattis|915
181|3|quisque id justo sit amet sapien dignissim vestibulum vestibulum ante|799
182|1|lectus vestibulum quam sapien varius ut blandit non interdum in|237
183|5|semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel|389
184|3|eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim|978
185|5|sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut|375
186|1|maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis|843
187|1|vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel|155
188|4|augue aliquam erat volutpat in congue etiam justo etiam pretium|389
189|3|libero quis orci nullam molestie nibh in lectus pellentesque at nulla|911
190|5|in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue|803
191|5|hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat|78
192|1|amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit|150
193|2|sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci|297
194|5|amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam|723
195|4|ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus|722
196|4|nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in|548
197|2|vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget|937
198|2|magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus|42
199|5|quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin|39
200|1|urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue|360
201|2|posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus|60
202|3|neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum|138
203|1|justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis|234
204|1|egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero|493
205|4|consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae|515
206|3|semper sapien a libero nam dui proin leo odio porttitor|881
207|1|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan|711
208|3|bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis|29
209|2|non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et|217
210|5|nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa|868
211|2|ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat|657
212|5|semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus|453
213|2|aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat|66
214|2|tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien|798
215|3|porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus|329
216|1|congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede|283
217|1|proin leo odio porttitor id consequat in consequat ut nulla sed accumsan|389
218|1|sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec|608
219|5|ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci|406
220|3|pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante|259
221|4|vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis|608
222|5|dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis|922
223|2|lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus|832
224|2|tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum|249
225|2|turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a|406
226|1|leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio|617
227|3|morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl|931
228|3|justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla|403
229|3|lobortis ligula sit amet eleifend pede libero quis orci nullam|719
230|3|ligula nec sem duis aliquam convallis nunc proin at turpis a pede|981
231|1|praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula|669
232|1|lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam|327
233|2|et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id|665
234|3|convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in|867
235|3|vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit|155
236|5|phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at|908
237|2|duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non|15
238|2|sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia|771
239|5|in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur|814
240|1|magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis|87
241|2|bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis|628
242|2|sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer|434
243|1|non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar|317
244|1|diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices|683
245|3|tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar|68
246|2|posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut|807
247|1|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis|442
248|2|nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra|599
249|1|pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat|479
250|5|sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus|592
251|1|sapien a libero nam dui proin leo odio porttitor id|384
252|5|odio justo sollicitudin ut suscipit a feugiat et eros vestibulum|88
253|4|pede justo eu massa donec dapibus duis at velit eu est|23
254|2|ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget|489
255|4|integer a nibh in quis justo maecenas rhoncus aliquam lacus|81
256|5|tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor|818
257|1|dictumst etiam faucibus cursus urna ut tellus nulla ut erat|425
258|1|praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer|655
259|4|nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel|538
260|1|vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam|20
261|5|morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo|25
262|1|sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus|497
263|2|nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet|252
264|3|turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula|276
265|4|sapien a libero nam dui proin leo odio porttitor id|717
266|5|pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus|990
267|2|enim in tempor turpis nec euismod scelerisque quam turpis adipiscing|733
268|3|ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam|617
269|4|et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec|831
270|5|nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est|10
271|5|in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non|735
272|4|nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam|798
273|1|adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus|434
274|3|justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices|655
275|1|pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque|478
276|5|libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in|469
277|4|tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam|497
278|2|vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac|479
279|2|dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula|298
280|2|nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio|788
281|3|fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed|116
282|2|dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non|492
283|3|id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in|619
284|2|lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat|290
285|4|viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra|777
286|1|dictumst etiam faucibus cursus urna ut tellus nulla ut erat id|956
287|5|sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue|681
288|5|ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices|38
289|3|ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et|12
290|3|in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate|97
291|1|ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit|620
292|5|ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac|376
293|4|molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget|627
294|2|integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna|944
295|1|amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere|798
